aalib (1.4rc5-19)
abseil-cpp (20250814.1-1)
acl (2.3.2-1)
adwaita-cursors (49.0-1)
adwaita-fonts (49.0-2)
adwaita-icon-theme (49.0-1)
adwaita-icon-theme-legacy (46.2-3)
alsa-card-profiles (1:1.4.10-2)
alsa-lib (1.2.15.3-2)
alsa-plugins (1:1.2.12-5)
alsa-topology-conf (1.2.5.1-4)
alsa-ucm-conf (1.2.15.3-1)
ananicy-cpp (1.1.1-10)
aom (3.13.1-2)
appstream (1.1.2-1)
aquamarine (0.10.0-2)
archlinux-keyring (20260206-1)
atkmm (2.28.4-1)
at-spi2-core (2.58.3-1)
attr (2.5.2-1)
audit (4.1.2-2)
autoconf (2.72-1)
automake (1.18.1-1)
avahi (1:0.9rc3-1)
ayatana-ido (0.10.4-1)
base (3-3)
base-devel (1-2)
bash (5.3.9-1)
binutils (2.46-1)
bison (3.8.2-8)
bluez-libs (5.86-2)
bpf (6.19.3-1)
brave-bin (1:1.87.191-1)
brotli (1.2.0-1)
bubblewrap (0.11.0-2)
bzip2 (1.0.8-6)
ca-certificates (20240618-1)
ca-certificates-mozilla (3.120.1-1)
ca-certificates-utils (20240618-1)
cairo (1.18.4-1)
cairomm (1.14.5-2)
cairomm-1.16 (1.18.0-2)
c-ares (1.34.6-1)
cdparanoia (10.2-9)
chromaprint (1.6.0-2)
clang (21.1.8-1)
cmake (4.2.3-1)
code (1.109.5-1)
compiler-rt (21.1.8-1)
coreutils (9.10-1)
cppdap (1.58.0-2)
cracklib (2.10.3-1)
cryptsetup (2.8.4-1)
curl (8.18.0-3)
dav1d (1.5.3-1)
db5.3 (5.3.28-7)
dbus (1.16.2-1)
dbus-broker (37-3)
dbus-broker-units (37-3)
dbus-units (37-3)
dconf (0.49.0-1)
debugedit (5.2-1)
default-cursors (3-1)
desktop-file-utils (0.28-1)
device-mapper (2.03.38-1)
diffutils (3.12-2)
double-conversion (3.4.0-1)
duktape (2.7.0-7)
dunst (1.13.1-1)
e2fsprogs (1.47.3-2)
efibootmgr (18-3)
efivar (39-1)
electron39 (39.5.2-1)
electron40-bin (40.6.1-1)
electron40-bin-debug (40.6.1-1)
enchant (2.8.14-1)
exo (4.20.0-2)
expat (2.7.4-1)
faac (1.31.1-1)
faad2 (2.11.2-1)
fakeroot (1.37.2-1)
ffmpeg (2:8.0.1-7)
ffmpegthumbnailer (2.3.0-1)
fftw (3.3.10-8)
file (5.46-5)
filesystem (2025.10.12-1)
findutils (4.10.0-3)
flac (1.5.0-1)
flex (2.6.4-5)
fluidsynth (2.5.2-1)
fmt (12.1.0-1)
fontconfig (2:2.17.1-1)
freeglut (3.8.0-1)
freetype2 (2.14.1-2)
fribidi (1.0.16-2)
fuse3 (3.18.1-1)
fuse-common (3.18.1-1)
fzf (0.68.0-1)
gawk (5.4.0-1)
gc (8.2.12-1)
gcc (15.2.1+r604+g0b99615a8aef-1)
gcc-libs (15.2.1+r604+g0b99615a8aef-1)
gcr (3.41.2-2)
gcr-4 (4.4.0.1-1)
gdbm (1.26-2)
gdk-pixbuf2 (2.44.4-1)
gettext (1.0-2)
giflib (5.2.2-2)
git (2.53.0-1)
glew (2.3.1-1)
glfw (1:3.4-1)
glib2 (2.86.4-1)
glibc (2.43+r5+g856c426a7534-1)
glibmm (2.66.8-1)
glibmm-2.68 (2.86.0-1)
glib-networking (1:2.80.1-1)
glm (1.0.3-1)
glslang (1:1.4.341.0-2)
glu (9.0.3-3)
glycin (2.0.8-1)
gmp (6.3.0-3)
gnome-keyring (1:48.0-1)
gnulib-l10n (20241231-1)
gnupg (2.4.9-1)
gnutls (3.8.12-2)
go (2:1.26.0-1)
gperftools (2.17.2-1)
gpgme (2.0.1-3)
gpgmepp (2.0.0-2)
gpm (1.20.7.r38.ge82d1a6-6)
gpsd (3.27.5-1)
gpu-screen-recorder-git (5.12.4.r4.geff5d61-1)
gpu-screen-recorder-git-debug (5.12.4.r4.geff5d61-1)
granite7 (7.7.0-1)
graphene (1.10.8-2)
graphite (1:1.3.14-6)
grep (3.12-2)
grim (1.5.0-2)
groff (1.23.0-8)
grub (2:2.14-1)
gsettings-desktop-schemas (49.1-1)
gsettings-system-schemas (49.1-1)
gsimplecal (2.5.2-1)
gsm (1.0.23-1)
gssdp (1.6.4-1)
gst-libav (1.28.1-1)
gst-plugins-bad (1.28.1-1)
gst-plugins-bad-libs (1.28.1-1)
gst-plugins-base (1.28.1-1)
gst-plugins-base-libs (1.28.1-1)
gst-plugins-good (1.28.1-1)
gstreamer (1.28.1-1)
gtest (1.17.0-2)
gtk3 (1:3.24.51-1)
gtk4 (1:4.20.3-1)
gtk4-layer-shell (1.3.0-1)
gtk-layer-shell (0.10.0-1)
gtkmm3 (3.24.10-1)
gtkmm-4.0 (4.20.0-1)
gtk-update-icon-cache (1:4.20.3-1)
guile (3.0.11-1)
gupnp (1:1.6.9-1)
gupnp-igd (1.6.0-2)
gzip (1.14-2)
harfbuzz (12.3.2-1)
harfbuzz-icu (12.3.2-1)
heroic-games-launcher-bin (2.20.1-1)
hicolor-icon-theme (0.18-1)
hidapi (0.15.0-1)
highway (1.3.0-2)
hwdata (0.404-1)
hyphen (2.8.8-6)
hyprcursor (0.1.13-3)
hyprgraphics (0.5.0-1)
hyprland (0.53.3-2)
hyprland-guiutils (0.2.1-2)
hyprlang (0.6.8-1)
hyprtoolkit (0.5.3-1)
hyprutils (0.11.0-1)
hyprwayland-scanner (0.4.5-1)
hyprwire (0.3.0-1)
iana-etc (20260203-1)
icu (78.2-2)
imagemagick (7.1.2.15-1)
imath (3.2.2-3)
imlib2 (1.12.6-1)
iniparser (4.2.6-2)
inotify-tools (4.25.9.0-1)
iproute2 (6.19.0-2)
iptables (1:1.8.11-2)
iputils (20250605-1)
iso-codes (4.20.1-1)
jansson (2.15.0-1)
jbigkit (2.1-8)
jq (1.8.1-1)
json-c (0.18-2)
jsoncpp (1.9.6-3)
json-glib (1.10.8-1)
kbd (2.9.0-1)
keyutils (1.6.3-3)
kitty (0.45.0-4)
kitty-shell-integration (0.45.0-4)
kitty-terminfo (0.45.0-4)
kmod (34.2-1)
krb5 (1.21.3-2)
lame (3.101.r6531-1)
lcms2 (2.18-1)
leancrypto (1.6.0-1)
lib32-alsa-lib (1.2.15.3-1)
lib32-alsa-plugins (1.2.12-1)
lib32-brotli (1.1.0-1)
lib32-bzip2 (1.0.8-4)
lib32-curl (8.18.0-4)
lib32-dbus (1.16.2-1)
lib32-e2fsprogs (1.47.3-2)
lib32-expat (2.7.4-1)
lib32-fontconfig (2:2.17.1-1)
lib32-freetype2 (2.14.1-1)
lib32-gcc-libs (15.2.1+r604+g0b99615a8aef-1)
lib32-glib2 (2.86.4-1)
lib32-glibc (2.43+r5+g856c426a7534-1)
lib32-gmp (6.3.0-2)
lib32-gnutls (3.8.12-1)
lib32-icu (78.2-1)
lib32-json-c (0.18-2)
lib32-keyutils (1.6.3-2)
lib32-krb5 (1.21.3-1)
lib32-libdisplay-info (0.3.0-1)
lib32-libdrm (2.4.131-1)
lib32-libelf (0.194-1)
lib32-libffi (3.5.2-1)
lib32-libgcrypt (1.12.1-1)
lib32-libglvnd (1.7.0-1)
lib32-libgpg-error (1.59-1)
lib32-libidn2 (2.3.8-1)
lib32-libldap (2.6.12-1)
lib32-libnghttp2 (1.68.0-1)
lib32-libnghttp3 (1.15.0-1)
lib32-libngtcp2 (1.20.0-1)
lib32-libnm (1.54.3-1)
lib32-libpciaccess (0.18.1-1)
lib32-libpipewire (1:1.4.10-1)
lib32-libpng (1.6.55-1)
lib32-libpsl (0.21.5-1)
lib32-libssh2 (1.11.1-1)
lib32-libtasn1 (4.21.0-1)
lib32-libunistring (1.3-1)
lib32-libva (2.22.0-1)
lib32-libx11 (1.8.13-1)
lib32-libxau (1.0.12-1)
lib32-libxcb (1.17.0-1)
lib32-libxcrypt (4.5.2-1)
lib32-libxcrypt-compat (4.5.2-1)
lib32-libxdmcp (1.1.5-1)
lib32-libxext (1.3.7-1)
lib32-libxfixes (6.0.1-2)
lib32-libxinerama (1.1.6-1)
lib32-libxml2 (2.15.1-4)
lib32-libxshmfence (1.3.3-1)
lib32-libxss (1.2.4-2)
lib32-libxxf86vm (1.1.5-2)
lib32-llvm-libs (1:21.1.8-1)
lib32-lm_sensors (1:3.6.2-2)
lib32-mesa (1:25.3.5-1)
lib32-ncurses (6.6-1)
lib32-nettle (3.10.2-1)
lib32-nspr (4.38.2-1)
lib32-nss (3.121-1)
lib32-openssl (1:3.6.1-1)
lib32-p11-kit (0.26.2-1)
lib32-pcre2 (10.47-1)
lib32-pipewire (1:1.4.10-1)
lib32-spirv-tools (1:1.4.341.0-1)
lib32-sqlite (3.51.2-1)
lib32-systemd (259.1-1)
lib32-util-linux (2.41.3-1)
lib32-vulkan-icd-loader (1.4.341.0-1)
lib32-vulkan-mesa-implicit-layers (1:25.3.5-1)
lib32-vulkan-radeon (1:25.3.5-1)
lib32-wayland (1.24.0-1)
lib32-xcb-util-keysyms (0.4.1-2)
lib32-xz (5.8.2-1)
lib32-zlib (1.3.2-1)
lib32-zstd (1.5.7-2)
libadwaita (1:1.8.4-1)
libarchive (3.8.5-1)
libasan (15.2.1+r604+g0b99615a8aef-1)
